2.495	Left
3.241	Up
3.633	Up
3.987	Down
6.534	Left
6.935	Down
7.262	Right
7.607	Up
16.711	Left
17.588	Down
18.493	Up
19.426	Right
20.321	Down
21.161	Up
22.05	Left
22.948	Up
24.263	Up
25.161	Left
26.05	Up
26.948	Down
27.383	Left,7
30.948	Up
31.828	Down
32.716	Left
33.587	Down
34.466	Down
35.383	Right
36.263	Up
37.161	Right
38.05	Left
38.865	Right
39.828	Up
40.716	Down
41.596	Left
42.494	Up
43.383	Right
44.226	Up
45.133	Left,1
46.022	Down,2
46.911	Up,2
48.263	Left
48.652	Up,2
50.05	Left
50.476	Right
50.929	Left
51.161	Up
52.263	Left
53.152	Right
54.041	Up
54.929	Right
55.818	Up
56.707	Up
57.587	Right
58.485	Up
59.374	Right
60.254	Left
61.207	Down,2
62.902	Left
63.809	Up
64.707	Right
65.596	Down,1
66.485	Down
66.948	Up
67.809	Right
68.689	Up
69.587	Down
70.476	Up
71.281	Down
72.244	Down
73.133	Right
73.578	Right
74.022	Down
74.911	Left
75.8	Left
76.679	Up
77.133	Down
77.568	Right
78.013	Left
78.457	Up
78.902	Up
79.559	Up
80.235	Up
80.67	Left
81.124	Down
82.004	Right
82.902	Up
83.8	Down
84.661	Up
85.559	Up
86.439	Left
87.328	Up
88.216	Left
89.096	Left
90.874	Left
91.318	Down
91.754	Up
92.642	Down
93.522	Left
93.976	Right
94.411	Down
95.457	Left,2.167
96.652	Right
96.929	Right
98.365	Down
98.716	Left
99.087	Down
99.272	Down
99.531	Down
99.735	Left
100.133	Right,4
102.698	Down
103.133	Right
103.578	Left
104.022	Down
104.457	Up
104.892	Left
105.337	Down
107.096	Left
107.531	Down
107.976	Right
113.226	Left
114.105	Up
114.976	Up
115.846	Down
117.17	Down
118.05	Up
118.92	Left
119.716	Right
120.235	Left
121.105	Down
121.985	Up
122.207	Left
122.42	Down
122.642	Left
