5.892	Down
7.275	Down
8.191	Up
8.878	Right
9.107	Right
10.023	Left
11.388	Down
13.201	Down
14.575	Right
16.407	Left
16.855	Left
17.304	Up
18.22	Right
19.117	Down
20.033	Down
20.987	Left
21.865	Down
22.781	Right
23.678	Up
24.594	Right
25.51	Left
26.407	Down
27.333	Down
28.249	Right
29.165	Up
30.052	Down
30.978	Left
31.426	Right,4
33.478	Left
33.888	Left
35.09	Left,4
38.745	Left
42.39	Down
42.838	Down
44.174	Down
44.67	Left
45.119	Right
45.567	Up
46.035	Down
46.483	Left
46.96	Up
47.399	Down
47.848	Right
48.315	Left
48.764	Up
49.203	Down
49.689	Up
50.138	Left
50.577	Right
51.054	Down
51.502	Left
51.951	Up
52.418	Left
52.867	Right
53.354	Down
53.783	Left
54.212	Up
54.699	Down
55.147	Right
55.596	Left
56.063	Down
56.302	Down
56.512	Down
56.75	Down
57.008	Down
57.428	Left
57.876	Right
58.315	Up
58.745	Right
60.157	Left
60.605	Right
61.054	Left
61.521	Up
61.97	Down
62.447	Right
62.886	Right
63.315	Left
63.792	Up
64.26	Left
64.708	Down
65.147	Up
65.625	Left
66.063	Up
66.521	Right
66.989	Down
67.437	Left
67.857	Right
68.354	Down
68.802	Down
69.25	Up
69.718	Right
70.166	Left
70.52	Up
71.083	Left
71.531	Right
71.979	Down
72.428	Up
72.895	Left
73.344	Up
73.687	Right
74.031	Down
74.26	Right
75.157	Left
75.625	Up
76.521	Right
77.437	Down
78.354	Left
79.25	Right
80.166	Down
81.063	Right
81.979	Right
82.876	Left
83.802	Right
84.241	Left,2
86.083	Left
86.531	Down
86.941	Left
87.208	Up
87.428	Down
87.657	Right
87.895	Left
88.344	Up
88.573	Down
88.707	Right
89.041	Down
89.26	Left
89.699	Up
90.157	Left
91.073	Right
91.989	Down
92.886	Left
93.325	Right
94.25	Up
95.166	Right
96.063	Up
96.512	Up
96.922	Up,6.583
100.395	Up
100.844	Up
101.312	Up
101.521	Up
101.808	Up
102.065	Up
102.418	Up
102.876	Left
104.222	Up
104.708	Left
105.596	Up
106.521	Down
107.409	Up
107.915	Left,3
109.699	Left
110.147	Up
111.025	Right
111.96	Left
112.876	Down
113.773	Left
114.689	Right
115.605	Left
116.054	Up
116.292	Left
116.502	Left
116.731	Left
116.979	Right
117.418	Left
117.867	Down
118.315	Up
118.773	Right
119.231	Left
119.68	Up
120.128	Right
120.558	Right
121.044	Left
121.388	Down
121.493	Left
121.731	Up
121.941	Right
122.18	Left
122.437	Right
122.857	Down
123.201	Up
123.544	Left
123.754	Right
123.993	Left
124.203	Right
124.67	Left
125.014	Left
125.119	Right
125.357	Left
125.567	Down
125.777	Right
126.044	Up
126.483	Down
126.827	Up
126.932	Left
127.17	Down
127.38	Right
127.619	Left
127.8	Right
128.296	Left
129.193	Down
130.109	Right
131.006	Left
131.483	Down
131.922	Up
132.819	Left
133.735	Down
134.661	Up
135.1	Left
135.548	Right
136.474	Left
137.361	Right
138.707	Right
139.174	Left
139.518	Left
140.071	Right
140.52	Left
140.968	Left
141.35	Down
141.884	Right
142.333	Down
142.781	Left
143.229	Up
143.697	Left
144.145	Right
144.594	Up
145.014	Left
145.51	Left
145.958	Right
